"BehaviorSpace results (NetLogo 6.2.0)"
"Assignment 4.nlogo"
"experiment"
"05/21/2021 09:19:55:992 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-20","20"
"[run number]","value_of_food","percentage_of_aggressive","view_Distance","constant_energy_loss","amount_of_food","number_of_agents","[step]","count turtles with [ aggression_type = ""Aggressive"" ]","count turtles with [ aggression_type = ""Non-aggressive"" ]","count agents2"
"8","20","25","2","1","30","100","137","0","6","6"
"3","20","25","2","1","30","100","178","0","2","2"
"5","20","25","2","1","30","100","210","0","1","1"
"2","20","25","2","1","30","100","179","0","1","1"
"7","20","25","2","1","30","100","153","1","0","1"
"6","20","25","2","1","30","100","131","0","7","7"
"4","20","25","2","1","30","100","157","0","5","5"
"1","20","25","2","1","30","100","252","1","0","1"
"10","20","25","2","1","60","100","319","0","2","2"
"12","20","25","2","1","60","100","401","0","1","1"
"11","20","25","2","1","60","100","339","0","7","7"
"9","20","25","2","1","60","100","268","0","11","11"
"13","20","25","2","1","60","100","370","1","0","1"
"16","20","25","2","1","60","100","320","0","4","4"
"15","20","25","2","1","60","100","380","0","1","1"
"14","20","25","2","1","60","100","457","0","1","1"
"28","20","25","2","1","120","100","518","0","333","333"
"22","20","25","2","1","90","100","746","0","281","281"
"25","20","25","2","1","120","100","658","0","333","333"
"18","20","25","2","1","90","100","975","0","278","278"
"27","20","25","2","1","120","100","994","0","295","295"
"21","20","25","2","1","90","100","1361","0","242","242"
"20","20","25","2","1","90","100","1355","0","260","260"
"29","20","25","2","1","120","100","772","0","303","303"
"31","20","25","2","1","120","100","694","0","316","316"
"26","20","25","2","1","120","100","1349","0","310","310"
"19","20","25","2","1","90","100","1666","0","234","234"
"34","20","25","2","1","150","100","368","0","319","319"
"30","20","25","2","1","120","100","944","0","304","304"
"32","20","25","2","1","120","100","956","0","330","330"
"33","20","25","2","1","150","100","720","0","329","329"
"40","20","25","2","1","150","100","372","0","352","352"
"37","20","25","2","1","150","100","467","0","366","366"
"38","20","25","2","1","150","100","584","0","336","336"
"42","20","25","2","1","180","100","294","0","375","375"
"35","20","25","2","1","150","100","751","0","341","341"
"36","20","25","2","1","150","100","745","0","339","339"
"49","20","25","2","2","30","100","65","0","5","5"
"39","20","25","2","1","150","100","687","0","336","336"
"50","20","25","2","2","30","100","56","0","1","1"
"51","20","25","2","2","30","100","76","1","0","1"
"52","20","25","2","2","30","100","57","0","10","10"
"53","20","25","2","2","30","100","68","0","1","1"
"54","20","25","2","2","30","100","66","0","3","3"
"17","20","25","2","1","90","100","2679","0","271","271"
"55","20","25","2","2","30","100","68","1","0","1"
"41","20","25","2","1","180","100","589","0","375","375"
"56","20","25","2","2","30","100","90","2","0","2"
"57","20","25","2","2","60","100","77","0","5","5"
"58","20","25","2","2","60","100","82","0","1","1"
"45","20","25","2","1","180","100","365","0","371","371"
"59","20","25","2","2","60","100","80","0","7","7"
"43","20","25","2","1","180","100","403","0","392","392"
"24","20","25","2","1","90","100","2500","0","263","263"
"61","20","25","2","2","60","100","66","0","10","10"
"60","20","25","2","2","60","100","82","0","2","2"
"62","20","25","2","2","60","100","90","0","6","6"
"63","20","25","2","2","60","100","85","1","0","1"
"64","20","25","2","2","60","100","93","0","2","2"
"65","20","25","2","2","90","100","138","0","3","3"
"67","20","25","2","2","90","100","143","0","3","3"
"66","20","25","2","2","90","100","184","1","0","1"
"68","20","25","2","2","90","100","156","0","1","1"
"69","20","25","2","2","90","100","120","0","4","4"
"71","20","25","2","2","90","100","116","2","0","2"
"70","20","25","2","2","90","100","136","0","1","1"
"72","20","25","2","2","90","100","114","0","14","14"
"73","20","25","2","2","120","100","196","0","2","2"
"44","20","25","2","1","180","100","498","0","382","382"
"74","20","25","2","2","120","100","186","0","12","12"
"78","20","25","2","2","120","100","187","5","0","5"
"23","20","25","2","1","90","100","2827","0","277","277"
"75","20","25","2","2","120","100","263","0","4","4"
"77","20","25","2","2","120","100","215","0","15","15"
"79","20","25","2","2","120","100","188","0","46","46"
"80","20","25","2","2","120","100","208","0","7","7"
"76","20","25","2","2","120","100","367","0","2","2"
"47","20","25","2","1","180","100","394","0","387","387"
"82","20","25","2","2","150","100","500","0","232","232"
"85","20","25","2","2","150","100","451","0","228","228"
"83","20","25","2","2","150","100","543","0","224","224"
"89","20","25","2","2","180","100","441","0","291","291"
"87","20","25","2","2","150","100","583","0","232","232"
"86","20","25","2","2","150","100","667","0","215","215"
"81","20","25","2","2","150","100","784","0","204","204"
"97","20","25","2","3","30","100","36","0","9","9"
"98","20","25","2","3","30","100","38","1","0","1"
"99","20","25","2","3","30","100","42","0","1","1"
"100","20","25","2","3","30","100","38","0","4","4"
"101","20","25","2","3","30","100","40","0","2","2"
"95","20","25","2","2","180","100","207","0","284","284"
"102","20","25","2","3","30","100","41","0","2","2"
"103","20","25","2","3","30","100","37","0","3","3"
"104","20","25","2","3","30","100","45","0","2","2"
"92","20","25","2","2","180","100","331","0","278","278"
"105","20","25","2","3","60","100","46","1","0","1"
"106","20","25","2","3","60","100","71","0","1","1"
"107","20","25","2","3","60","100","47","0","2","2"
"108","20","25","2","3","60","100","57","0","1","1"
"109","20","25","2","3","60","100","52","0","2","2"
"110","20","25","2","3","60","100","54","0","2","2"
"90","20","25","2","2","180","100","640","0","284","284"
"111","20","25","2","3","60","100","59","0","1","1"
"112","20","25","2","3","60","100","51","3","0","3"
"115","20","25","2","3","90","100","69","0","1","1"
"114","20","25","2","3","90","100","84","1","0","1"
"113","20","25","2","3","90","100","74","0","1","1"
"116","20","25","2","3","90","100","85","2","0","2"
"117","20","25","2","3","90","100","71","0","1","1"
"119","20","25","2","3","90","100","64","0","5","5"
"120","20","25","2","3","90","100","71","0","3","3"
"118","20","25","2","3","90","100","91","0","2","2"
"123","20","25","2","3","120","100","78","0","3","3"
"122","20","25","2","3","120","100","99","0","1","1"
"121","20","25","2","3","120","100","115","0","4","4"
"124","20","25","2","3","120","100","110","0","4","4"
"125","20","25","2","3","120","100","101","4","0","4"
"126","20","25","2","3","120","100","96","0","1","1"
"128","20","25","2","3","120","100","88","1","0","1"
"127","20","25","2","3","120","100","97","0","2","2"
"130","20","25","2","3","150","100","73","0","9","9"
"93","20","25","2","2","180","100","484","0","283","283"
"129","20","25","2","3","150","100","144","0","5","5"
"132","20","25","2","3","150","100","110","0","11","11"
"131","20","25","2","3","150","100","132","0","1","1"
"84","20","25","2","2","150","100","1171","0","215","215"
"134","20","25","2","3","150","100","132","0","1","1"
"133","20","25","2","3","150","100","165","0","1","1"
"135","20","25","2","3","150","100","105","0","27","27"
"136","20","25","2","3","150","100","109","0","8","8"
"88","20","25","2","2","150","100","1196","0","216","216"
"138","20","25","2","3","180","100","173","0","7","7"
"137","20","25","2","3","180","100","253","2","0","2"
"142","20","25","2","3","180","100","185","0","10","10"
"140","20","25","2","3","180","100","250","0","6","6"
"141","20","25","2","3","180","100","227","0","8","8"
"139","20","25","2","3","180","100","272","0","6","6"
"143","20","25","2","3","180","100","181","0","19","19"
"144","20","25","2","3","180","100","227","0","10","10"
"46","20","25","2","1","180","100","1294","0","402","402"
"91","20","25","2","2","180","100","772","0","260","260"
"145","20","25","4","1","30","100","308","0","35","35"
"146","20","25","4","1","30","100","599","1","0","1"
"147","20","25","4","1","30","100","592","0","1","1"
"152","20","25","4","1","30","100","485","0","9","9"
"153","20","25","4","1","60","100","305","0","107","107"
"148","20","25","4","1","30","100","681","0","11","11"
"96","20","25","2","2","180","100","844","0","299","299"
"150","20","25","4","1","30","100","780","0","71","71"
"151","20","25","4","1","30","100","818","0","1","1"
"149","20","25","4","1","30","100","1068","0","3","3"
"154","20","25","4","1","60","100","682","0","110","110"
"161","20","25","4","1","90","100","275","0","112","112"
"162","20","25","4","1","90","100","338","0","131","131"
"164","20","25","4","1","90","100","188","0","127","127"
"155","20","25","4","1","60","100","760","0","109","109"
"160","20","25","4","1","60","100","559","0","123","123"
"163","20","25","4","1","90","100","391","0","119","119"
